REF_MS;Page_PDF;TITRE_PIECE;TITRE_BRENNER;LANGUE;JOUR;NUM;MOIS;ANNEE;AUTEUR_PIECE;REPR_1;DEPENSES_DIVERSES;Traduction;mot_cles;COUT_DEPENSES_DIVERSES;Dépenses_ordinaires;Instruments;Animaux;Coiffeuse;Picard;Buron;Monsieur_Sticotti;Coffre-fort;Nicolo_et/ou_Villars;Spese_extra;Sconba;Putella;Lista;Chaises;Porteur;Carrosse;Habiller;Menuisier–_De_Lande;Afficheur;Gardes;Souffleur;Lustres;Perruquier;Hommes_ou_enfants_en_plus;Bougies;Arguments;Mances;Danseurs;Pour_le_feu;TOTAL_DEPENSES;DEBIT_DERNIERE_REPR;Column;Recettes_balcon_de_premières_loges;Balcon_deuxièmes_loges;Recettes_balcon_deuxièmes_loges;Billets_premières_loges;Recettes_premières_loges;Billets__secondes_loges;Recettes_deuxièmes_loges;Billets_troisièmes_loges;Recettes_troisièmes_loges;Billets_parterre;Recettes_Parterre;Premières_loges;Recette_Prima_loggia;Seconda_loggia;Recette_Seconda_loggia;Personnalités;Montant_personnalités;Supplément;Montant_Supplément;Paradis;Recettes_Paradis;NB_TOTAL_BILLETS_VENDUS;RECETTES_BILLETS_VENDUS;QUART_PAUVRE;TOTAL_DEPENSES2;DEBIT_INITIAL;RESTE;CREDIT;CREDIT_FINAL_(avanza);R_DEBIT_TOT;R_CREDIT_TOT;Part_des_auteurs;Aparte_in_6_;Aparte_in_9;Aparte_in_12;Aparte_in_12_e_1/4;Aparte_in_12_e_½;Aparte_in_13;Aparte_in_13_¾;Aparte_in_14;Aparte_in_14_¾;Aparte_in_15;Anecdotes;REDACTEURS
TH-OC-12;200;Arlequin_amoureux_par_enchantement/Arlequin_Persée;;;;;;;;;Nolo_della_Corrazza;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;203;Arlechino_Statua_e_Perochetto;Arlequin_astrologue,_enfant,_statue_et_perroquet;IT;Domenica;20;Decembre;1722;Inconnu;20/08/16;;;;;120;;;;;;;;;;1;;;;;;;;;;;;;41,25;;;3;;21;187,05;;;;;;74;256;80;160;16;24;278;278;;;;;;;;;;;448;718;179,1;187,5;366,15;351,05;718;51,05;;;;;;;;;;;;;20;;Paghetti
TH-OC-12;202;Le_mariage_rompu/Arlequin_Persée;Parvenu/Arlequin_Persée;"IT/FR;FR";Lunedi;21;Decembre;1722;"Beauchamps;Fuzelier";"12/02/1721;18/12/1722";Una_mancia_a_Nicolo_nella_p.a_Coma;;;0,1;120;;;;;;;;;;1;;8,16,6;;;;1,1;;;16;1,1;;5;5,15;;;7;18;21;222,1,6;;;;;;113;452;139;278;37;55,1;342;342;2;64;;;;;Oui__;12;;;633;1203,1;300,17,6;222,1,6;522,19;680,11;1203,1;80,11;;;;;;;;;;;;;40;;Paghetti
TH-OC-12;202;Le_mariage_rompu/Arlequin_Persée;;;;;;;;;Nolo_della_Toilette;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;202;Le_mariage_rompu/Arlequin_Persée;;;;;;;;;La_coeffeuse;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;202;Le_mariage_rompu/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;202;Le_mariage_rompu/Arlequin_Persée;;;;;;;;;A_Nicolo;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;202;Le_mariage_rompu/Arlequin_Persée;;;;;;;;;Donuti_al_sr_Bissoni;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;202;Le_mariage_rompu/Arlequin_Persée;;;;;;;;;Nolo_delli_sechi;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;205;La_Surprise_de_l'amour/Grapignan;Surprise_de_l'amour/Arlequin_Grapignan;"FR;IT/FR_";Martedi;22;Decembre;1722;"Marivaux;Fatouville";"03/05/1722;12/05/18";Obois_scordato_di_sabato;;;1,1;120;;;;;;;;;;2,1;;;;;;1,1;;;;;;;;;;3;18;21;168,1;;;;;;21;84;19;38;2;3;104;104;;;;;;;;;;;146;229;57,05;168,1;225,15;3,05;229;3,05;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;204;Les_fourbes_par_interest/Arlequin_Persée;Ignorants_devenus_fourbes_par_intérêt/Arlequin_Persée;"IT/FR;FR";Mercordi;23;Decembre;1722;"Biancolelli/Riccoboni;Fuzelier";"13/10/1717;18/12/1722";Una_mancia_a_Nicolo_nella_p.a_Coma;;;0,1;120;;;;;;;;;;2,1;;1;;;;1,1;;;8;;;1,5;5,15;;;7;18;21;204,1;;;;;;70;280;48;96;5;7,1;241;241;2;64;;;;;;;;;366;688,1;172,2,6;204,1;376,12,6;311,17,6;688,1;11,17,6;;;;;;;;;;;;;20;;Paghetti
TH-OC-12;204;Les_fourbes_par_interest/Arlequin_Persée;;;;;;;;;Une_poile_per_i_ballarini;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;204;Les_fourbes_par_interest/Arlequin_Persée;;;;;;;;;La_Coeffeuse;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;204;Les_fourbes_par_interest/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;204;Les_fourbes_par_interest/Arlequin_Persée;;;;;;;;;A_Nicolo;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;207;Les_filles_errantes/Arlequin_Persée;Filles_errantes/Arlequin_Persée;"IT/FR;FR";Venerdi;26;Decembre;1722;"Regnard;Fuzelier";"14/09/1719;18/12/1722";A_Nicolo;;;2,1;120;;;;;;;;;;3,1;;7,7,6;3;;;1,1;;;8;;;1,5;5,15;;;8,1;18;21;203,17,6;;;;;;117;468;124;248;23;34,1;315;315;;;;;;;Oui__;10;;;579;1075,1;268,17,6;203,17,6;472,15;602,15;1075,1;2,15;;;;;;;;;;;;;40;;Paghetti
TH-OC-12;207;Les_filles_errantes/Arlequin_Persée;;;;;;;;;La_Coeffeuse;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;207;Les_filles_errantes/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;206;Le_Port_à_L'Anglais;Naufrage_au_Port-à-l'Anglais;FR;Domenica;27;Decembre;1722;Autreau;25/04/18;5_mancie_al_Drago_dans_Persée;;;2,1;120;;;;;;;;;;1;;0,19;;;;1,1;;;;;;1,1;;;;4;18;21;170,09;;;;;;22;88;59;118;7;10,1;147;147;;;;;;;;;;;235;363,1;90,17,6;170,9;261,6,6;102,3,6;363,1;12,3,6;;;;;;;;;;;;;6;;Paghetti
TH-OC-12;209;Le_valet_de_deux_maitres/Arlequin_Persée;Arlequin_valet_de_deux_maîtres/Arlequin_Persée;"IT;FR";Lunedi;28;Decembre;1722;"Mandajors/Riccoboni;Fuzelier__";"31/07/1718;18/12/1722";A_Nicolo;;;2,1;120;;;;;;;;;;2,1;;7,12,6;2;;;1,1;;;8;;;2;5,15;;;9,1;18;21;204,7,6;;;;;;94;376;86;172;28;42;312;312;;;;;;;;;;;520;902;225,1;204,7,6;429,17,6;472,2,6;902;22,2,6;;;;;;;;;;;;;30;;Paghetti
TH-OC-12;209;Le_valet_de_deux_maitres/Arlequin_Persée;;;;;;;;;La_Rosa_nel_mariage_rompu;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;209;Le_valet_de_deux_maitres/Arlequin_Persée;;;;;;;;;La_Coeffuse;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;209;Le_valet_de_deux_maitres/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;208;Il_Servo_scioco;Arlequin_valet_étourdi;IT;Martedi;29;Decembre;1722;Procope_;08/06/16;Mancia_a_Nicolo;;;0,1;120;;;;;;;;;;1;;58,17;2;;;;;;;;;;;;;2;;21,1;205,17;;;;;;20;80;7;14;4;6;74;74;;;;;;;;;;;105;174;43,1;205,17;249,07;75,07;175;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;211;Amante_Hypocrite/Arlequin_Persée;Amante_hypocrite/Arlequin_Persée;"IT/FR;FR";Mercordi;30;Decembre;1722;"Biancolelli;Fuzelier";"23/01/1718;18/12/1722";La_Coeffuse;;;2;120;;;;;;;;;;1,1;;1,04;2;;;1,1;;;8;;;1,1;5,15;;;0,1;18;21,1;270,06;75,1;;;;;61;244;24;48;4;6;140;140;;;;;;;;;;;229;438;109,1;270,6;379,16;58,04;438;58,4;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;211;Amante_Hypocrite/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;211;Amante_Hypocrite/Arlequin_Persée;;;;;;;;;A_Nicolo;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;210;Amanti_Ignoranti;Amants_ignorants;FR;Giornedi;31;Decembre;1722;Autreau;14/04/20;Errore_ne_Conti_in_discapito_del_sr_Bissoni;;;7,7,6;120;;;;;;;;;;2;3;;;;7,1;1,1;;;;;;2,1;;;;0,1;18;21,1;184,17,6;;;;;;12;48;16;32;1;1,1;64;64;;;;;;;;;;;93;143,1;36,7,6;184,7,6;220,15;75,05;145,1;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;213;Le_sincère_a_contretemps/La_Meridienne/Arlequin_Persée;Sincère_à_contretemps/Méridienne/Arlequin_Persée;"IT;IT/FR;FR";Venerdi;1;Genaro;1723;"Riccoboni;Fuzelier;Fuzelier";"04/10/1717;21/05/1719;18/12/1722";La_Coeffuse;;;2;120;;;;;;;;;;2,1;;16,15;4;;;;;;8;;;2;5,15;;;7,1;18;21,1;330,03;75,1;;;;;16;64;45;90;12;18;209;209;;;;;;;;;;;280;381;95,05;330,3;425,8;44,08;381;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;213;Le_sincère_a_contretemps/La_Meridienne/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;213;Le_sincère_a_contretemps/La_Meridienne/Arlequin_Persée;;;;;;;;;A_Nicolo;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;213;Le_sincère_a_contretemps/La_Meridienne/Arlequin_Persée;;;;;;;;;Viaggio_di_Versaglia;;;36,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;212;Arlechino_muto_par_crainte/Attendez_moy_sous_l'orme;Arlequin_muet_par_crainte/Attendez-moi_sous_l'orme;"IT;FR";Sabatto;2;Genaro;1723;"Riccoboni;Du_Fresny";"16/12/1717;20/07/1719";A_Caretto_nelli_amanti_ignoranti;;;0,1;120;;;;;;;;;;2,1;3;;2;;2,1;1,1;;;;;;1;;;;2;6;21,1;206,18;44,1;;;;;12;48;23;46;2;3;71;71;;;;;;;;;;;108;168;42;205,18;248,18;80,18;168;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;215;Arlequin_poli_par_l'amour/Arlequin_Persée;Arlequin_poli_par_l'amour/Arlequin_Persée;FR;Domenica;3;Genaro;1723;"Marivaux;Fuzelier";"17/10/1720;18/12/1722";La_Coeffeuse_d'hieri,_e_d'hoggi;;;4;120;;;;;;;;;;2,1;;;;;;1,1;;;4;;;;5,15;;;9,1;18;21,1;273,03;80,2;;;;;17;68;68;136;16;24;224;224;;;;;;;;;;;325;452;113,2,6;273,3;386,03;65,17;452;65,17;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;215;Arlequin_poli_par_l'amour/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;215;Arlequin_poli_par_l'amour/Arlequin_Persée;;;;;;;;;A_Nicolo;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;215;Arlequin_poli_par_l'amour/Arlequin_Persée;;;;;;;;;3_volte_il_drago_compreso_questa_sera;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;214;L'amour_maistre_de_langue;Amour_maître_de_langues_;IT/FR;Lunedi;4;Genaro;1723;Fuzelier;18/09/18;3_viaggi_alla_Rosa_dell'anno_passato_dal_Rè;;;4,1;120;;;;;;;;;;1;;;;;;0,1;;;;;;4;;;;;12;21,1;163,1;;;;;;16;64;11;22;2;3;62;62;;;;;;;;;;;91;151;37,15;163,1;201,05;50,05;151;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;217;Il_Giocatore/Arlequin_Persée;Joueur/Arlequin_Persée;"IT;FR";Martedi;5;Genaro;1723;"Riccoboni;Fuzelier";"06/12/1718;18/12/1722";La_Coeffeuse;;;2;120;;;;;;;;;;2,1;;;3;;;1,1;;;;;;;5,15;;;10,1;18;21,1;239,1;50,1;;;;;38;152;35;70;8;12;144;144;;;;;;;;;;;225;378;94,1;239,1;334;44;378;44;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;217;Il_Giocatore/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;217;Il_Giocatore/Arlequin_Persée;;;;;;;;;A_Nicolo;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;217;Il_Giocatore/Arlequin_Persée;;;;;;;;;Il_Drago;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;216;La_Précaution_Inutile/Arlequin_Persée;Précaution_inutile/Arlequin_Persée;"IT/FR;FR";Mercordi;6;Genaro;1723;"Fatouville;Fuzelier";"11/12/1721;18/12/1722";La_Coeffeuse;;;2;120;;;;;;;;;;2,1;;1,08;5;;;1,1;;7,1;;;;1,1;5,15;;;9;18;21,1;245,08;44;;;;;61;244;67;134;14;21;215;215;;;;;;;;;;;357;614;153,1;245,8;398,18;215,02;614;5,02;;;;;;;;;;;;;14;;Paghetti
TH-OC-12;216;La_Précaution_Inutile/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;216;La_Précaution_Inutile/Arlequin_Persée;;;;;;;;;A_Nicolo;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;216;La_Précaution_Inutile/Arlequin_Persée;;;;;;;;;Il_Drago;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;216;La_Précaution_Inutile/Arlequin_Persée;;;;;;;;;Etrennes_aux_boüeurs;;;1,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;219;Arlequin_Sauvage;Arlequin_Sauvage;FR;Giornedi;7;Genaro;1723;Delisle;17/06/21;Etrennes_al_Portin:°_di_monsgn_d'Argenson;;;10;120;;;;;;;;;;1;6;;;;;1,1;;;;;;;;;;;18;21,1;178;;;;;;11;44;18;36;7;10,1;66;66;;;;;;;;;;;102;156,1;39,2,6;178;217,2,6;60,12,6;156,1;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;218;La_Soubrette/Arlequin_Persée;Soubrette/Arlequin_Persée;FR;Venerdi;8;Genaro;1723;"Beauchamps;Fuzelier";"14/11/1721;18/12/1722";Al_servitor_del_sr_Mario;;;1,1;120;;;;;;;;;;2,1;;14,18,6;3;;;1,1;;;;;;3;5,15;;;9;18;21,1;267,16;60,12,6;;;;;15;60;16;32;4;6;82;82;;;;;;;;;;;117;180;45,12,6;267,16;312,16;132,16;180;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;218;La_Soubrette/Arlequin_Persée;;;;;;;;;La_Coeffuse;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;218;La_Soubrette/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;218;La_Soubrette/Arlequin_Persée;;;;;;;;;A_Nicolo;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;218;La_Soubrette/Arlequin_Persée;;;;;;;;;Il_Drago;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;221;Il_Padre_Partiale/Arlequin_a_l'Isle_de_Seylan;Père_partial/Arlequin_dans_l'île_de_Ceylan;"IT/FR;IT_";Sabatto;9;Genaro;1723;"Riccoboni;Coypel/Riccoboni";"29/05/1718;25/08/1717";Fulmine__;;;2;120;;;;;;;;;;1,1;;;2;;;1,1;;;;;;0,15;;;;3;18;21,1;303,1;132,2;;;;;6;24;5;10;2;3;53;53;;;;;;;;;;;66;90;22,1;303,1;325,11;235,11;90;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;220;La_Surprise_de_l'amour/Arlequin_Persée;Surprise_de_l'amour/Arlequin_Persée;FR;Domenica;10;Genaro;1723;"Marivaux;Fuzelier";"03/05/1722;18/12/1722";La_Coeffeuse;;;2;120;;;;;;;;;;2,1;;9,07;;;;1,1;;;;;;2;5,15;;;7,1;18;21,1;435,03;235,1;;;;;39;156;64;128;23;34,1;273;273;;;;;;;;;;;399;591,1;147,17,6;435,3;583,0,6;8,9,6;591,1;8,9,6;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;220;La_Surprise_de_l'amour/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;220;La_Surprise_de_l'amour/Arlequin_Persée;;;;;;;;;A_Nicolo;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;220;La_Surprise_de_l'amour/Arlequin_Persée;;;;;;;;;Il_Drago;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;220;La_Surprise_de_l'amour/Arlequin_Persée;;;;;;;;;Nolo_dell_abito_di_poissoniere;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paghetti
TH-OC-12;222;Les_filles_amoureuses_du_diable/Les_Terres_Australes;Filles_amoureuses_du_diable/Terres_australes;"IT;FR";Martedi;12;Genaro;1723;"Inconnu;Legrand/Biancolelli";"13/06/2017;23/09/1721";Nolo_di_careghe_di_compa;;;2;120;;;;;;;;;;1;3;;;;;1,1;;;;;;3;1;;;2,1;18;21,1;246,2,6;72,12,6;;;;;17;68;16;32;2;3;111;111;;;;;;;;;;;146;214;53,1;246,2,6;299,12,6;85,12,6;214;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paghetti
TH-OC-12;224;Arlequin_faux_brave/Arlequin_Persée;Arlequin_faux_brave/Arlequin_Persée;"IT;FR";Giornedi;14;Genaro;1723;"Boccabadati;Fuzelier";"28/11/1721;18/12/1722";La_Coeffeuse;;;2;120;;;;;;;;;;2,1;;;2;;;1,1;;;;;;4,1;5,15;;;9;18;21,1;299,06;105,1;;;;;6;24;10;20;3;4,1;65;65;;;;;;;;;;;84;113,1;28,7,6;299,16;327,15,6;214,3,6;113,1;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;224;Arlequin_faux_brave/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;224;Arlequin_faux_brave/Arlequin_Persée;;;;;;;;;A_Nicolo;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;224;Arlequin_faux_brave/Arlequin_Persée;;;;;;;;;Il_Drago;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;224;Arlequin_faux_brave/Arlequin_Persée;;;;;;;;;Bianchidura_dell_abito_di_statua;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paghetti
TH-OC-12;226;Il_Tradito;Arlequin_et_Lélio_valets_dans_la_même_maison;IT;Sabatto;16;Genaro;1723;Inconnu;13/06/17;Guanti_a_Paguetti;;;1;120;;;;;;;;;;1;;28,9,6;;;;;;;;;;;;;;;;21,1;171,19,6;;;;;;14;56;4;8;3;4,1;50;50;;;;;;;;;;;71;118,1;29,12,6;171,19,6;2101,12;83,02;118,1;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;228;Le_Malheur_des_mariés/Arlequin_Persée;Malheur_des_mariés/Arlequin_Persée;"IT;FR";Lunedi;18;Genaro;1723;"Inconnu;Fuzelier";"16/09/1717;18/12/1722";La_donna_che_a_nettato_le_scale;;;2,1;120;;;;;;;;;;2,1;;;;;;1,1;;;8;;;3;5,15;;;7,1;18;21,1;197,13;;;;;;11;44;10;20;8;12;71;71;;;;;;;;;;;100;147;36,15;197,13;234,08;87,08;147;;;;;;;;;;;;;;0;;Paghetti
TH-OC-12;228;Le_Malheur_des_mariés/Arlequin_Persée;;;;;;;;;La_Coeffuse;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;228;Le_Malheur_des_mariés/Arlequin_Persée;;;;;;;;;A_la_Pierre__;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;228;Le_Malheur_des_mariés/Arlequin_Persée;;;;;;;;;A_Nicolo;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;228;Le_Malheur_des_mariés/Arlequin_Persée;;;;;;;;;Il_Drago;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH-OC-12;229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paghetti
TH-OC-12;231;Arlequin_au_Banquet_de_sept_sages;Arlequin_au_Banquet_des_sept_sages;FR;Martedi;19;Genaro;1723;Delisle;15/01/23;Coeffuses_delle_due_Ballarine;;;10;120;;;;;;;;;;2,1;3;4,15;;;;1,1;;;8;;;1,1;;;;;18;21,1;283,03;87,1;;;;;43;172;57;114;14;21;290;290;;;;;;;;;;;404;597;149,05;283,3;432,08;;;14,12;;;;;;;;;;;;;10;;Paghetti
TH-OC-12;231;Arlequin_au_Banquet_de_sept_sages;;;;;;;;;Obois_scordato_di_sabato;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
