REF_MS;Page_PDF;TITRE_PIECE;TITRE_BRENNER;LANGUE;JOUR;NUM;MOIS;ANNEE;AUTEUR_PIECE;REPR_1;DEPENSES_DIVERSES;Traduction;mot_cles;COUT_DEPENSES_DIVERSES;Dépenses_ordinaires;Instruments;Animaux;Coiffeuse;Picard;Buron;Monsieur_Sticotti;Coffre-fort;Nicolo_et/ou_Villars;Spese_extra;Sconba;Putella;Lista;Chaises;Porteur;Carrosse;Habiller;Menuisier–_De_Lande;Afficheur;Gardes;Souffleur;Lustres;Perruquier;Hommes_ou_enfants_en_plus;Bougies;Arguments;Mances;Danseurs;Pour_le_feu;TOTAL_DEPENSES;DEBIT_DERNIERE_REPR;Column;Recettes_balcon_de_premières_loges;Balcon_deuxièmes_loges;Recettes_balcon_deuxièmes_loges;Billets_premières_loges;Recettes_premières_loges;Billets__secondes_loges;Recettes_deuxièmes_loges;Billets_troisièmes_loges;Recettes_troisièmes_loges;Billets_parterre;Recettes_Parterre;Premières_loges;Recette_Prima_loggia;Seconda_loggia;Recette_Seconda_loggia;Personnalités;Montant_personnalités;Supplément;Montant_Supplément;Paradis;Recettes_Paradis;NB_TOTAL_BILLETS_VENDUS;RECETTES_BILLETS_VENDUS;QUART_PAUVRE;TOTAL_DEPENSES2;DEBIT_INITIAL;RESTE;CREDIT;CREDIT_FINAL_(avanza);R_DEBIT_TOT;R_CREDIT_TOT;Part_des_auteurs;Aparte_in_6_;Aparte_in_9;Aparte_in_12;Aparte_in_12_e_1/4;Aparte_in_12_e_½;Aparte_in_13;Aparte_in_13_¾;Aparte_in_14;Aparte_in_14_¾;Aparte_in_15;Anecdotes;REDACTEURS
TH_OC_10_78;6;Case_Svalizade;Arlequin_valet_étourdi;IT;Giornedi;17;Zug°;1717;Inconnu;27/05/16;Giovani;;;1;120;;;;;;;;;;;;0,16;;;;;;;;;;;;;;1;;;125,16;;;;;;17;68;9;18;5;7,1;77;77;;;;;;;;;;;108;170,1;42,12,6;125,16;168,80,6;2,01;170,1;2,1;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;6;Case_Svalizade;;;;;;;;;A_Pietro_per_la_tamburina;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;6;Case_Svalizade;;;;;;;;;Al_Zonfo_per_andar_dal_imprimor_molte_volte;;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;7;L'Amor_Stravagante;Amour_extravagant;IT;Sabatto;19;Zug°;1717;Inconnu;13/06/17;Per_fare_il_locho_del_sugeridore__sul_nostro_teatro;;;2;120;;;;;;;;;33;;;;;3,05;22;;;;;;;;;4,18;;;;;185,03;;;;;;37;178;27;54;5;7,1;181;181;;;;;;;oui;18;;;250;408,1;102,20,6;185,3;287,50,6;121,04;408,1;121,04;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;7;Amor_Natto_dal_Focho;Bonheur_du_hasard;IT;Domenica;20;Zug°;1717;Inconnu;15/05/17;;;;;120;;;;;;;;;;;;1,09;;;;;;;;;;;;;;1;;;122,09;;;;;;15;60;6;12;2;3;78;78;;;;;;;;;;;101;153;38,05;122,9;160,17;7,14;153;;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;8;;Amour_extravagant;IT;Lunedi;21;Zug°;1717;Inconnu;13/06/17;;;;;120;;;;;;;;;;;;1,02;;;;;;;;;;;;;;;;;128,16;7,1;;;;;29;116;30;60;2;3;121;121;;;;;;;oui;4;;;182;304;76;128,16;204,16;99,4;304;39,04;;;;;;5;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;8;Demoni_son_le_Donne;Diables_sont_les_femmes;IT;Mercordi;23;Zug°;1717;;23/06/17;Fago_per_il__fogo_di_Sn_Giovane;;;2;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122;;;;;;53;212;21;42;2;3;118;118;;;;;;;;;;;194;375;93,15;122;215,15;159,05;375;39,05;;;;;;10;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;9;Amor_Stravagante;Amour_extravagant;IT;Giornedi;24;Zug°;1717;Inconnu;13/06/17;;;;;120;;;;;;;;;;;;1,15;;;;;;;;;;;;;;;;;121,15;;;;;;15;60;16;32;3;4,1;59;59;;;;;;;;;;;93;155,1;38,17,6;121,15;150,12,6;4,15;155,1;4,15;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;9;Casa_con_due_porte;Maison_à_deux_portes;IT;Sabatto;26;Zug°;1717;Calderon;22/06/16;Portadura_di_strumenti_da_Mlle_Robic;;;1;120;;;;;;;;;33;;;;;3,05;22;;;;;;;;;4,18;;;;;186,05;;;;;;50;200;20;40;6;9;105;105;;;;;;;;;;;181;354;88,1;186,5;274,15;79,5;354;79,05;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;9;Casa_con_due_porte;;;;;;;;;Lista_e_un_torso;;;2,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
